19235,Om situationen i Mellemøsten.,2025-04-02 09:51:47.267,2
19584,"Om ISIL, Tyrkiets relation til ISIL og Danmarks relation til Tyrkiet.",2025-04-01 16:10:56.763,2
19599,"Kvalitets- og sikkerhedsstandarder for menneskelige organer til transplantation ",2022-12-01 09:57:00.023,7
19688,Om den indenrigs- og udenrigspolitiske situation.,2025-04-02 09:50:40.490,2
19914,"Forslag til afgørelse om om ændring af lufttransportaftalen ",2024-07-11 15:00:58.450,7
19933,Om sammenhængen mellem klimaændringer og sikkerhed.,2025-03-31 10:54:58.260,11
19938,Om regeringens sikkerhedspolitiske redegørelse.,2025-03-31 10:53:59.147,11
20002,Om klimapolitiske og energipolitiske initiativer.,2024-03-14 09:16:06.467,9
20108,Om genmodificerede afgrøder.,2024-03-14 09:16:50.440,9
20364,Om overvågning.,2024-10-25 15:19:49.400,2
20734,Om krigen mod terror,2025-04-02 10:15:58.997,2
20740,Om udviklingen i Irak.,2025-04-02 10:15:04.673,2
20758,Om Tjetjenien,2025-04-02 10:14:14.543,2
20761,Om global samhandel og dens konsekvenser,2025-04-02 10:13:20.287,2
20770,Om Israel og Palæstina,2025-04-02 10:12:10.640,2
20771,Om klyngebomber,2025-04-02 10:10:59.980,2
20772,Om den indenrigs- og udenrigspolitiske situation,2025-04-02 10:07:55.737,2
20849,Om Kina og OL,2025-04-02 10:05:44.407,2
20850,Om Kina og OL,2025-04-02 10:04:56.390,2
21025,Om national sikkerhedspolitisk strategi,2025-03-28 13:51:07.937,5
21043,Om national sikkerhedspolitisk strategi.,2025-03-28 13:52:15.790,5
21140,Om videoovervågning i taxaer.,2024-10-25 15:14:40.050,5
21171,Om tv-overvågning.,2024-10-25 15:05:02.640,3
21358,Om anden del af FN's klimapanels femte hovedrapport om effekten af klimaforandringer.,2025-04-01 16:10:24.143,2
21375,Om forholdsmæssig fordeling af formandsposter i de stående udvalg.,2025-01-15 15:21:26.213,5
21377,Om anerkendelse af en selvstændig palæstinensisk stat.,2025-03-28 13:35:58.410,5
21447,Forslag til direktiv om visse aspekter i forbindelse med tilrettelæggelse af arbejdstiden inden for transport ad indre vandveje,2024-07-02 14:19:00.840,7
21797,Om at fravige kravet om prækvalifikation ved sammenlægning af flere eksisterende uddannelser.,2024-10-28 14:34:27.670,3
22049,Om nedsættelse af en udenrigskommission.,2025-03-28 13:35:12.977,5
22177,Om den sikkerhedspolitiske redegørelse 2014.,2025-03-31 10:48:58.023,11
22250,FÆLLES MEDDELELSE Nabolande ved en skillevej: Gennemførelsen af Naboskabspolitikken i 2013,2023-12-15 09:37:54.170,7
22347,Om åbning af den tyrkiske grænse mod Kobane.,2025-04-01 16:08:50.607,2
22376,Forslag til afgørelse om EU's holdning i Det Blandede EØS-Udvalgs forretningsorden (Kroatiens tiltrædelse),2025-03-07 15:20:41.367,7
22384,Forslag om AFGØRELSE om undertegnelse af FN-konvention om gennemsigtighed i aftalebaseret investor-stat-voldgift,2024-08-07 10:59:09.607,7
22396,Om relationen mellem sport og politik ved store sportsbegivenheder.,2025-04-01 16:08:13.137,2
22414,Forslag til AFGØRELSE om indgåelse af protokollen til rammeaftalen mellem EU og Indonesien om et alsidigt partnerskab (Kroatiens tiltrædelse),2024-04-24 15:41:59.617,7
22423,Forslag om til forordning om handel med sælprodukter,2024-08-16 10:14:47.907,7
22427,"Forslag om beskyttelse mod virkningerne af den eksterritoriale anvendelse af lovgivning vedtaget af et tredjeland ",2025-03-07 15:21:53.220,7
22430," Forslag til AFGØRELSE om undertegnelse og midlertidig anvendelse af en tillægsprotokol til overenskomsten mellem EU og Norge om fisk - Kroatiens optagelse i EU",2025-03-21 11:31:22.373,7
22815,Rapport fra Kommissionen om evaluering af kulturhovedstæder i 2013 (Košice Og Marseille-Provence),2025-04-15 15:52:26.903,7
22875,Om befolkningers ret til selvbestemmelse.,2025-04-01 16:07:13.927,2
22877,Om det armenske folkedrab.,2025-04-01 16:06:00.863,2
22907,Forslag til Rådets direktiv om ophævelse af direktiv 2003/48/EF (Rentebeskatningsdirektivet),2024-01-11 15:32:04.340,7
22944,Om anlæg af en ny Storstrømsbro og nedrivning af den eksisterende Storstrømsbro.,2024-10-10 10:39:06.533,3
22968,Om Vestsahara.,2025-04-01 16:05:05.593,2
22991,Om sexchikane.,2024-03-14 09:19:48.167,9
23207,Forslag til afgørelse om indgåelse af aftalen mellem EU og Vanuatu om visumfritagelse for korte ophold,2024-09-10 15:03:52.017,7
23367,Om den indenrigs- og udenrigspolitiske situation.,2025-04-01 16:04:22.313,2
23904,Forslag til AFGØRELSE om ansøgninger om tilføjelse af nye indgange i bilag VIII eller IX til Baselkonventionen om  transport af farligt affald,2025-03-07 14:31:02.787,7
23960,FÆLLES MEDDELELSE Faktorer i EU's strategiske respons på udfordringerne i Guineabugten,2024-08-28 10:18:27.947,7
24191,Forslag til AFGØRELSE om EU's holdning til visse resolutioner i Den Internationale Vinorganisation (OIV),2025-03-07 15:19:08.677,7
